Variety_ID,Accession_ID,accession_holding,parent1,parent1_synonym,parent1_holding,parent2,parent2_holding,Code_ID,Panel_246,genetic_group,type,holding,Holding name
11430,11430_H,inrae,11430_usda,11430_usda,USDA,UH_007,UH,3101,yes,Iodent,CrossValidation,"CIAM, Spain",Centro de Investigaciones Agrarias de Mabegondo
A158,A158_H,inrae,A158_inra,A158_inra,INRA,UH_007,UH,1038,no,,nG_ext,"CIMMYT, Mexico",Centro International de Mejoramiento de Maiz y Trigo
A188,A188_H,inrae,A188_inra,A188_inra,INRA,UH_007,UH,1046,no,,nG_ext,"CREA, Italy",Ronsiglio per la ricerca in agricoltura
A3,A3_H,inrae,A3_inra,A3_inra,INRA,UH_007,UH,3102,yes,Other,CrossValidation,"CSIC, Spain",Consejo Superior de Investigaciones Científicas
A310,A310_H,inrae,A310_inra,A310_inra,INRA,UH_007,UH,3008,yes,Other,CrossValidation,"IFSI, USA","Illinois Foundation Seeds, Inc."
A340,A340_H,inrae,A340_inra,A340_inra,INRA,UH_007,UH,1050,no,,nG_ext,"INRAE, France","Institut National de recherche pour l'agriculture, l'alimentation et l'environnement"
A347,A347_H,inrae,A347_inra,A347_inra,INRA,UH_007,UH,3013,yes,Other,CrossValidation,"MTA ATK, Hungary",Magyar Tudományos Akadémia MTA Agrártudományi Kutatóközpont
A374,A374_H,inrae,A374_inra,A374_inra,INRA,UH_007,UH,3017,yes,Other,CrossValidation,"UH, Germany",University of Hohenheim
A375,A375_H,inrae,A375_inra,A375_inra,INRA,UH_007,UH,3103,yes,Other,CrossValidation,"USDA, USA",United States Department of Agriculture
A554,A554_H,inrae,A554_inra,A554_inra,INRA,UH_007,UH,3221,yes,Other,CrossValidation,,
A654,A654_H,inrae,A654_inra,A654_inra,INRA,UH_007,UH,1057,no,,nG_ext,,
AS5707,AS5707_H,inrae,AS5707_usda,AS5707_usda,USDA,UH_007,UH,3067,yes,Lancaster,CrossValidation,,
B100,B100_H,inrae,B100_uh,B100_uh,UH,UH_007,UH,3019,yes,Lancaster,CrossValidation,,
B103,B103_H,inrae,B103_inra,B103_inra,INRA,UH_007,UH,1058,no,,nG_ext,,
B104,B104_H,inrae,B104_inra,B104_inra,INRA,UH_007,UH,3029,yes,Stiff_Stalk,CrossValidation,,
B105,B105_H,inrae,B105_inra,B105_inra,INRA,UH_007,UH,3012,yes,Other,CrossValidation,,
B106,B106_H,inrae,B106_inra,B106_inra,INRA,UH_007,UH,3066,yes,Other,CrossValidation,,
B107,B107_H,inrae,B107_inra,B107_inra,INRA,UH_007,UH,3053,yes,Iodent,CrossValidation,,
B108,B108_H,inrae,B108_uh,B108_uh,UH,UH_007,UH,3074,yes,Other,CrossValidation,,
B109,B109_H,inrae,B109_uh,B109_uh,UH,UH_007,UH,3104,yes,Stiff_Stalk,CrossValidation,,
B110,B110_H,inrae,B110_uh,B110_uh,UH,UH_007,UH,3105,yes,Stiff_Stalk,CrossValidation,,
B111,B111_H,inrae,B111_uh,B111_uh,UH,UH_007,UH,1176,no,,nG_ext,,
B113,B113_H,inrae,B113_uh,B113_uh,UH,UH_007,UH,3059,yes,Other,CrossValidation,,
